Demon; ghashank'o
missing; ngatkhet’a
my; Jahi
must; ro'ma
mongrel; khis
member; mak'ja
members; mak'jahi
man; boja
name; tkhaadop'o
needler; kh'repos
need; ngani
near; ogha ni
needs; na'eta
needed; na'eti
nice; Aindu
nice; ngit
nipple; kie'sha
nipples; kie'shi
no; Eya
new; ai'nda
noone; kak'ni
obsidian; QezoY
oblivion; Qezok
oh; qkhe
onto; on'oni
ours; Momemu
our; momem
out; ruut'a
or; gah'i
other; k'unjo
online; o'kaj
play; runa'hi
partner; la'ajo
prayer; dahtechee
prepare; Ruie
presence; banghaina
programming; didi
progress; Runahudo
promise; bambit'agha
people; tkhet'a
puzzle; arum
praise; hira
pause; hodu
pollute; gaiduje
pillar; ch'anaani
pious; moq'aaji
path; Shak'o
prophet; hira
quickly; ruujaya
rock; gakha
real; raj
revenge; maaziit'u
red; Saban
repost; snk'rugdi
reprogramming; snk'didi
ready; mejaya
retreat; welekkhosa
revelation; mobaat'u
respond; khekhawa
ridiculous; ch'snk
ring; gamo
rise; lakhi
respond; khekhawa
regret; Gaik'inat'u
righteous; uma'sim
right; ikhi
rodent; skwee
spilled; ey'kal
study; p'uko
stories; moq'asqas
story; moq'as
stop; pkhada
salvation; kiy'ja
she; juusiit'aji
signal; shkhoot'u
sorry; ch'eka
sacred; Ch'ag
said; Shupa
search; maaro
searching; q'amaaro
sense; banghaina
sangheili; Sangiyri
say; khawa
saying; khawajo
see; ch'anik'o
shadow; eya'kelni
so; ghaazhi
seek; om'namom
sex; heika
ship; wele
sick; Blar
signal; banghainta
silence; ni'wuo
sacrifice; gawaaka
sister; shiooah
sleep; pkhungo
saw; ch'anik'otan
strong; haala
stronger; haali
seen; ch'anik'oji
soon; yodu
slower; ti'regati
show; ch’anik’otanjahe
slow; ti'regat
smell; Heenu
soul; Jineh
speak; i'af
speaking; i'afla
spear; Silket
sharp; dzumu
swordsman; et'ojo
stab; ch'injin
steak; Voctu
stop; ni' fen
suck; Vochi
send; tkhunga
sure; satkha
shoot; khobu
sword; shenskroa
thing; cha'ki
take; ch'imo
taken; ch'imoji
talk; wuo
that; atkha
there; tkhaas
the; oni
them; tkhaari
then; tkhazhi
they; jayatan
they; muuri
together; riikhe'ni
think; thium
this; ine
thought; thiuma
throw; wa'hu
time; maasa
to; on
touch; thun
trash; wa'ki
travel; gakabunoh
go to; gakabunoh
treasure; gaibaat'u
treasures; gaibaat'u
trust; quis'kre
trusted; quisk
truth; 'Odosima
unacceptable; rah'souina
unconscious; thurq
understand; ch'aamosik'o
unstable; kraku
until; ijk
unknown; ngaamas
up; grow
vagina; Jaanay
wait; hodu
waves; mogha
walk; hini
walking; hinio
march; hinok
welcome; klakai
want; ota'i
warrior; k'uucho
watching; oramee
way; al'e
we; riin
weapon; zhuro
what; khawajo
when; ghaazhi
where; ghaadi
was; diibeji
were; diibe
will; otajaga
wing; 'asabu
with; dar
within; me
wool; a'ul
word; t'iis
weakness; nujut'u
work; qwor'a
working; qworvau
worry; daagha
would; Uneu
woman; bojo
why; jahi'q
worthy; kkhaaya
wise; khoya
yes; ts'uuchaga
yeah; ts'um
your; k'e
you're; k'e
you; k'e
yoke; io
zealot; moq'aajo
lost; moduje
0; kan
1; rak
2; din
3; ro
4; ki
5; ra
6; yo
7; po
8; ti
9; we
10; wek
spine; baan
head; cha'n
mind; mo's
brain; mos
jaw (lower); ga'i
jaw (upper); juu'n
foot; gha'y
hand; akke
anus; koonay
penis; eenay
mouth; ga'n
leg; koojah
legs; koojah'i
thigh; koojah
thighs; koojah'i
